idx	decision_id	match	passage_chars	text_idx	window_start
1	ncwd-2026-smith-v-polk-county	0.635	1679	45341	iting as to why she should not be sanctioned for failure to comply with the court's standing order regarding the use of artificial intelligence. [doc. 9 at 15].
2	in-re-ap-ohio-2026	0.665	1093	10357	l be considered together. we note that although the juvenile court ordered the parents and children to submit to psychological evaluations, father's appeal main
3	ca5-2026-guerra-quezada-v-united-states	0.626	1265	13368	ment violated their substantive and procedural due process rights. yet, appellants have not adequately briefed these claims: they are completely unsubstantiated
4	fladistctapp-2026-hulse-gibson-v-hulse	exact	828	374	we affirm the orders on appeal without comment. we write, however, to caution cynthia hulse-gibson about using generative ai in any future pro se filings withou
5	njd-2026-kurelko-v-ballard	0.666	974	16560	ndants' personal interests which, plaintiff asserts, requires them to defend the judiciary defendants' alleged unconstitutional conduct that he believes evinces
6	pangelinan-guam-2026	exact	587	22807	in schacher's opening brief, two nonexistent citations may be attributed to generative artificial intelligence use. see appellant's am. br. at 15 (june 30, 2025
7	ark-rule-220-2025	exact	1071	184	on june 5, 2025, we published for comment a proposed administrative order no. 25: artificial intelligence. it specifically addressed the use of generative artif
8	indctapp-2026-holstein-v-holstein	0.667	2031	20582	pertaining to the section 31-17-2-8 custody factors tipped the scales in mother's favor, and we will not substitute our judgment for that of the trial court. th
9	mathis-fl-2026	exact	412	791	in his answer brief, the husband cites two cases which do not exist. as we recently explained: such phantom authority cannot assist any litigant and must be exp
10	illappct-2026-scott-v-illinois-human-rights-commission	0.339	1901	18580	nctions should not be imposed before imposing the sanction. id. ¶ 3 a. attorney cole's response ¶ 3 to comply with rule 375(a)'s notice-and-hearing requirement 
11	dc-2026-douglas-v-deutsche-bank-national-trust	0.667	927	938	an appeal from a superior court order granting appellee deutsche bank national trust company's motion for judgment on the pleadings in a judicial foreclosure ac
12	insd-2026-harris-v-wray	0.667	1044	15479	his claims are dismissed for failure to state a claim for lack of causation. d. rule warning as discussed further in the conclusion below, harris will have an o
13	ca11-2024-snell-v-united-specialty	0.667	1281	48947	 that guy. so in a way, i felt like i was back to square one. and that's when things got weird. perhaps in a fit of frustration, and most definitely on what can
14	nhd-2026-turgeon-v-fhlmc	0.667	809	8189	y notice and serve objections to her creditor's claims on several occasions. the court explained to turgeon that if she failed to comply with the notice and ser
15	ca6-2025-smith-v-pam-transport	0.498	1199	54814	context, and other relevant considerations in a setting where the individual who purportedly engaged in race discrimination is a member of the plaintiff's race?
16	texas-rule-2026	exact	947	6029	rule has been rewritten to modernize the rule and reinforce the obligation of attorneys and self-represented parties to verify documents filed with the court. p
17	cod-2026-y-s-v-john-doe	0.864	1252	6353	cir. 2011)). judge starnella concluded that pseudonymity is not warranted in this case because the record shows that the individuals that threatened plaintiff a
18	nvd-2026-seeto-v-kendall	0.810	758	15513	, 881 (6th cir. 1997). 22 ecf no. 5 at 4. 23 while ai tools can be useful, and this court does not prohibit litigants from using them, those services pull infor
19	nmd-2026-rasheem-carter-v-uzglobal	0.667	710	2319	e court that plaintiffs' march response brief and motions to compel could contain fake cases. [doc. 9 text only]. the parties believed these cases may have been
20	calctapp-2026-samuel-k-v-winsley-focia	0.736	2418	4518	"rities necessarily dooms her appeal. (id. at p. 436.) v. frederickson (2020) 8 cal.5th 963, 1000 [""self-represented [parties] are 'held to the same standard of "
21	mied-2026-hardy-v-genesee-county-community	exact	1441	2380	"r&r explained, ""courts and opposing counsel are [ ] burdened by the careless use of ai by pro se filers."" hardy v. whitaker, ___ f.r.d. ___ 20 wl 575225, at *10"
22	arizctapp-2026-in-re-termination-of-parental-rights	0.821	682	16388	misrepresenting the record and on appeal. see alma s., 2 ariz. at 151, ¶ 18. reasonable relying on inappropriate legal authorities). we will forward evidence su
23	minnctapp-2026-young-v-young	0.667	1034	8298	"ng to comply with court rules,"" but they are ""still not relieved of the burden of, at least, adequately communicating to the court what it is [they want] accomp"
