1	ncwd-2026-smith-v-polk-county	fabricated-citations	lawyer	warning				The court discharged an AI-use show-cause order without sanctions but cautioned plaintiff's counsel about future filings.
2	in-re-ap-ohio-2026	pro-se-ai-use						The court affirmed and warned that erroneous AI-assisted citations may be disregarded or sanctioned.
3	ca5-2026-guerra-quezada-v-united-states	fabricated-citations	lawyer	warning				The court affirmed one dismissal, remanded the other to dismiss without prejudice, and warned counsel about defective citations.
4	fladistctapp-2026-hulse-gibson-v-hulse	fabricated-citations	litigant-in-person	warning			generative AI	The court affirmed without comment and cautioned Cynthia Hulse-Gibson to verify generative-AI-assisted pro se filings.
5	njd-2026-kurelko-v-ballard	fabricated-citations	litigant-in-person	warning				The court denied Kurelko's motions to disqualify the New Jersey Office of the Attorney General.
6	pangelinan-guam-2026	pro-se-ai-use						The court affirmed in part and reversed in part while declining sanctions for two possible AI-attributed citations.
7	ark-rule-220-2025	rules-by-opinion						The court adopted Administrative Order No. 25 on artificial intelligence effective immediately.
8	indctapp-2026-holstein-v-holstein	fabricated-citations	lawyer	warning			artificial intelligence	The court affirmed the custody order and denied a $5,000 sanctions request after counsel corrected fictitious citations.
9	mathis-fl-2026	pro-se-ai-use						The court reversed and remanded a child-support order while disregarding phantom authorities in a pro se brief.
10	illappct-2026-scott-v-illinois-human-rights-commission	fabricated-citations	lawyer	sanctions	15000	USD	ChatGPT	The court affirmed the Commission's dismissal, fined attorney Mason Cole $15,000, and referred the opinion to the ARDC.
11	dc-2026-douglas-v-deutsche-bank-national-trust	fabricated-citations	lawyer	referral			Google’s generative artificial intelligence search tool	The court struck Deutsche Bank's appellee brief and referred the matter to the Office of Disciplinary Counsel.
12	insd-2026-harris-v-wray	fabricated-citations	litigant-in-person	warning				The court dismissed the complaint without prejudice, allowed amendment, and warned Harris about Rule 11 and AI-policy compliance.
13	ca11-2024-snell-v-united-specialty	court-ai-use						The court affirmed summary judgment for the insurer; Judge Newsom concurred and disclosed querying ChatGPT and Bard while considering ordinary meaning.
14	nhd-2026-turgeon-v-fhlmc	fabricated-citations	litigant-in-person	other				The district court affirmed dismissal of Turgeon's Chapter 13 petition and upheld striking her objection.
15	ca6-2025-smith-v-pam-transport	court-ai-use						The court reversed summary judgment and remanded; the majority noted and criticized the concurrence’s ChatGPT inquiry about a disputed phrase.
16	texas-rule-2026	rules-by-opinion						The court preliminarily approved rule amendments addressing verification and sanctions for inaccurate filings.
17	cod-2026-y-s-v-john-doe	fabricated-citations	litigant-in-person	warning				The court warned the filer that future use of false, nonexistent, or unsupported authorities may result in sanctions.
18	nvd-2026-seeto-v-kendall	fabricated-citations	litigant-in-person	warning				The court warned the self-represented plaintiff to verify legal authorities and cautioned that future hallucinated or nonexistent citations may bring sanctions.
19	nmd-2026-rasheem-carter-v-uzglobal	fabricated-citations	lawyer	referral	1000	USD		The court fined counsel $1,000 payable to the clerk, ordered bar reporting, required proof of AI CLE, and barred passing costs to clients.
20	calctapp-2026-samuel-k-v-winsley-focia	fabricated-citations	litigant-in-person	costs-order				The court dismissed the appeal, assessed appellate costs, and addressed the defective authorities.
21	mied-2026-hardy-v-genesee-county-community	fabricated-citations	litigant-in-person	strike-off				The court struck the motion to consolidate and gave the plaintiff a final warning after he repeated fake quotations following an earlier AI-citation sanction order.
22	arizctapp-2026-in-re-termination-of-parental-rights	fabricated-citations	lawyer	referral				The court referred counsel to disciplinary authorities for the defective citations.
23	minnctapp-2026-young-v-young	fabricated-citations	litigant-in-person	warning			generative artificial intelligence	The court admonished the filer to verify authorities before presenting AI-assisted or otherwise unsupported legal citations.
24	tnwd-2026-reaves-law-firm-pllc-v-baker-donelson-bearman	fabricated-citations	lawyer	costs-order	1	USD	GAI	The court ordered Reaves Law Firm to pay costs for improper citations and directed counsel to send the order to professional regulators.
25	cacd-2026-tqj-v-jennifer-esquivel	fabricated-citations	lawyer	pending				The court ordered counsel to show cause why sanctions, striking, or referral should not issue for the defective authorities.
26	insd-2026-jana-james-v-national-board-of	fabricated-citations	litigant-in-person	other				The court warned that future filings with nonexistent cases or unsupported authorities would result in Rule 11 sanctions.
27	nysupct-2026-doe-j-v-trustees-of-columbia-university	fabricated-citations	lawyer	other				The court granted dismissal motions, denied the Article 78 petition, and noted counsel’s withdrawal and apology for AI-fabricated citations.
28	nced-2026-curry-v-capital-one-auto-finance	fabricated-citations	litigant-in-person	other				The court denied leave to amend because the proposed amended complaint’s additional fabricated citations showed bad faith and amendment would be futile.
29	ga-2026-hannah-renee-payne-v-state	fabricated-citations	prosecutor	suspension				The court vacated and remanded the trial-court order, barred the prosecutor from appearing for six months, and ordered twelve CLE hours.
30	iowactapp-2026-christ-apostolic-temple-dwight-reed-and-jordan	fabricated-citations	litigant-in-person	warning			GAI	The court admonished the filer to verify authorities before presenting AI-assisted or otherwise unsupported legal citations.
31	nmd-2026-neri-v-board-of-education-for-albuquerque-public-schools	fabricated-citations	litigant-in-person	warning				The court warned the self-represented plaintiff to verify legal authorities and cautioned that future hallucinated or nonexistent citations may bring sanctions.
32	ned-2026-kadlaskar-v-uscis	fabricated-citations	lawyer	warning				The court awarded EAJA fees and cautioned plaintiff's counsel about a hallucinated Eighth Circuit citation.
33	wawd-2026-ledoux-v-outliers-summary-judgment	fabricated-citations	lawyer	sanctions			Claude or ChatGPT	The court granted defendants' summary judgment motion and excluded an expert report after finding hallucinated citations undermined reliability.
34	asbca-2026-endure-industries-v-defense-health-agency	fabricated-citations	litigant-in-person	warning				The Board granted dismissal and warned the self-represented contractor that future citations to non-existent authority may lead to sanctions.
35	utd-2026-regan-wilkes-v-canyons-school-district	fabricated-citations	lawyer	fine	7000	USD		The court imposed Rule 11 sanctions and ordered plaintiffs’ counsel to pay defendants $7,000 for expenses caused by non-existent case law.
36	txsd-2026-kenneth-hawkins-v-i-c-system	fabricated-citations	litigant-in-person	warning				The court warned the self-represented party to verify legal authorities before future filings.
37	kyctapp-2026-pamela-blair-v-sanctuary-bluff-homeowners-association	fabricated-citations	litigant-in-person	strike-off				The court struck the appellant’s brief and allowed refiling after repeated hallucinated precedent and deficient AI certifications.
38	tnmd-2026-in-re-bfi-waste-systems	fabricated-citations	lawyer	sanctions	1500	USD		The court publicly reprimanded attorney Louis W. Ringger III and imposed a $1,500 Rule 11 monetary sanction.
39	nvd-2026-kim-elizabeth-harwell-v-westcare-nevada	fabricated-citations	litigant-in-person	warning			ChatGPT	The court warned the self-represented party to verify legal authorities before future filings.
40	nmd-2026-sample-v-hilton-worldwide-holdings	fabricated-citations	litigant-in-person	warning			GAI	The court warned the filer that future use of false, nonexistent, or unsupported authorities may result in sanctions.
41	pamd-2026-marble-v-o-malley	fabricated-citations	litigant-in-person	warning				The court admonished the self-represented plaintiff for unverified or fabricated authorities and cautioned against repeating the citation misconduct.
42	iowactapp-2026-state-of-iowa-ex-rel-j-g-v-mynesia-a-anderson	fabricated-citations	litigant-in-person	other				The court dismissed the appeal after the appellant failed to comply with its order addressing fabricated authorities in her briefs.
43	ilnd-2026-hatch-v-college-ave-student-loans	fabricated-citations	lawyer	pending				The court ordered counsel to show cause why sanctions, striking, or referral should not issue for the defective authorities.
44	dcd-2026-andre-lamont-goddard-jr-v-city-university-of-seattle	fabricated-citations	litigant-in-person	warning				The court admonished the self-represented party to verify cited authorities and avoid repeating the citation defects.
45	ca10-2026-ryan-michael-jarvis-v-county-of-teton-wyoming	fabricated-citations	litigant-in-person	warning				The court warned the self-represented party to verify legal authorities and cautioned that future hallucinated or nonexistent citations may bring sanctions.
46	fladistctapp4-2026-innocent-v-meraki-installers	fabricated-citations	lawyer	referral				The court affirmed and referred counsel to the Florida Bar over trial-transcript quotations not found in the record.
47	azctapp-2026-boettcher-v-boettcher	fabricated-citations	lawyer	other				The court accepted special action jurisdiction, granted relief in part, and struck an apparently false quotation.
48	vaed-2026-burnley-v-valentin	evidence-authentication						The court granted in part motions to enforce settlement after finding an audio recording authentic and identifying the caller as Burnley.
49	vaeb-2026-in-re-mahar	fabricated-citations	lawyer	other				The bankruptcy court dismissed the adversary complaint without prejudice for lack of subject-matter jurisdiction.
50	ncwd-2026-ebony-sherisse-lucas-v-charles-w-scharf	fabricated-citations	litigant-in-person	pending				The court ordered the self-represented party to show cause why sanctions, striking, or referral should not issue for the defective authorities.
