idx	decision_id	segments	status	failures
1	ncwd-2026-smith-v-polk-county	3	FAIL	seg3 matched 122/141 best 0.955 moreover counsel has not explained the origin of the fabricated quotations other than to accept responsibility for
2	in-re-ap-ohio-2026	1	OK	
3	ca5-2026-guerra-quezada-v-united-states	4	OK	
4	fladistctapp-2026-hulse-gibson-v-hulse	1	OK	
5	njd-2026-kurelko-v-ballard	1	OK	
6	pangelinan-guam-2026	1	OK	
7	ark-rule-220-2025	1	OK	
8	indctapp-2026-holstein-v-holstein	1	FAIL	seg1 matched 190/330 best 0.797 these circumstances present an opportunity for this court to reemphasize the importance of verifying every citatio
9	mathis-fl-2026	1	OK	
10	illappct-2026-scott-v-illinois-human-rights-commission	9	OK	
11	dc-2026-douglas-v-deutsche-bank-national-trust	1	OK	
12	insd-2026-harris-v-wray	2	FAIL	seg1 matched 129/145 best 0.949 in harris's motion for extension of time to effect service of process he cites walsh v kreiger no 19 cv 1764 2020 
13	ca11-2024-snell-v-united-specialty	2	FAIL	seg1 matched 188/194 best 0.948 and that's when things got weird perhaps in a fit of frustration and most definitely on what can only be described
14	nhd-2026-turgeon-v-fhlmc	1	FAIL	seg1 matched 62/132 best 0.949 the court then questioned turgeon regarding her objection to the trustee's motion to dismiss specifically the cour
15	ca6-2025-smith-v-pam-transport	2	OK	
16	texas-rule-2026	1	OK	
17	cod-2026-y-s-v-john-doe	1	FAIL	seg1 matched 184/219 best 0.947 judge starnella concluded that pseudonymity is not warranted in this case because the record shows that the indivi
18	nvd-2026-seeto-v-kendall	1	OK	
19	nmd-2026-rasheem-carter-v-uzglobal	1	FAIL	seg1 matched 4/103 best 0.977 on june 27 2025 the court issued its first show cause order identifying three additional cases in the march respon
20	calctapp-2026-samuel-k-v-winsley-focia	2	OK	
21	mied-2026-hardy-v-genesee-county-community	1	OK	
22	arizctapp-2026-in-re-termination-of-parental-rights	1	FAIL	seg1 matched 87/107 best 0.918 on appeal see alma s 245 ariz at 151 18 reasonable relying on inappropriate legal authorities we will forward evid
23	minnctapp-2026-young-v-young	1	FAIL	seg1 matched 77/159 best 0.984 our review of father's brief shows that it contains many citations to caselaw that either do not exist sometimes r
24	tnwd-2026-reaves-law-firm-pllc-v-baker-donelson-bearman	1	OK	
25	cacd-2026-tqj-v-jennifer-esquivel	1	FAIL	seg1 matched 105/114 best 0.903 apparently even an awareness that they were present in the what steps to take with respect to the motion and with 
26	insd-2026-jana-james-v-national-board-of	1	OK	
27	nysupct-2026-doe-j-v-trustees-of-columbia-university	1	OK	
28	nced-2026-curry-v-capital-one-auto-finance	1	OK	
29	ga-2026-hannah-renee-payne-v-state	1	FAIL	seg1 matched 32/171 best 0.963 1 on march 20 2026 after oral argument in this case this court entered an order directing counsel for the state to
30	iowactapp-2026-christ-apostolic-temple-dwight-reed-and-jordan	1	FAIL	seg1 matched 14/162 best 0.957 sinegal's appellate and reply briefs contain citations to cases that do not exist or do not stand for the proposit
31	nmd-2026-neri-v-board-of-education-for-albuquerque-public-schools	1	FAIL	seg1 matched 84/112 best 0.944 262 at 1 citing united states v stone 988 f 2d 1056 1061 10th cir 1993 the court assumes neri either erroneously c
32	ned-2026-kadlaskar-v-uscis	4	FAIL	seg1 matched 12/85 best 0.489 plaintiff admits that she did and capricious or unsupported by not seek the mandamus relief in the motion for summ | seg2 matched 10/39 best 0.674 however that case does not exist 2 the court found a change in defendants conduct instead defendants acted portion | seg3 matched 8/23 best 0.757 while this apparent hallucinated case does not necessarily at 626 quoting pierce v underwood 487 u s 552 565 misst
33	wawd-2026-ledoux-v-outliers-summary-judgment	3	OK	
34	asbca-2026-endure-industries-v-defense-health-agency	1	OK	
35	utd-2026-regan-wilkes-v-canyons-school-district	1	FAIL	seg1 matched 59/129 best 0.961 defendants during the hearing asserted that they were wary of plaintiffs explanation given that the holdings of th
36	txsd-2026-kenneth-hawkins-v-i-c-system	2	OK	
37	kyctapp-2026-pamela-blair-v-sanctuary-bluff-homeowners-association	2	OK	
