001	ca10-2026-andria-borsody-v-frontier-heritage-communities	10th Cir. CA	Admonishment		As we will discuss, the district court confirmed no such case exists and admonished Ms. Borsody to refrain from using AI when drafting legal documents without confirming the accuracy of citations. We too have confirmed “Alford v. City of Canon City” is not a r
002	nysupct-2026-vargas-v-mta-bus	SC New York	No sanction		The prior decision and order acknowledged the non-existent cases, but the proposition of law in those non-existent citations was, in fact, true. As the filing of identical motion papers in Paez Rodriguez is intended to cure a mistaken belief that “consolidated
003	texapp-2026-shaddai-harris-v-nadia-lyotard-and-mitchell-sa	CA Texas	Order to amend brief		–4– Appellant initially filed a brief raising sixteen appellate issues.1 The brief contained at least four hallucinated citations and at least twenty citations which do not stand for the proposition or holding for which they are presented. After appellees file
004	nysd-2026-jason-wimberly-v-verizon-new-york	S.D. New York	Warning		Courts have previously observed that a citation to a nonexistent case suggests that Plaintiff may have used a form of generative artificial intelligence (“genAI”) to draft submissions to the Court and that genAI hallucinated the phantom case citation. See Park
005	calctapp1-2026-quinteros-v-harbor-distributing	CA California (1d)	Monetary Sanction; Bar referral	6000 USD	adequate record on an issue requires that the issue be resolved against [appellant]”].) on Plaintiff’s multiple misrepresentations and erroneous citations of authority” that “permeate[] Plaintiff’s opposition.” On July 8, the court issued a tentative ruling gr
006	txed-2026-mccormick-v-texakoma-financial	E.D. Texas	Public Reprimand; Monetary Sanction; Firmwide citation review; CLE	6000 USD	The Reply also flagged fake quotes and unsupported propositions. Ginsburg did not file a sur-reply or move to remedy this problem. The Order to Show Cause. After reviewing the veracity of Defendant's claim that Ginsburg submitted a brief with fraudulent citati
007	arizctapp1-2026-villanueva-v-bowers	CA Arizona (1d)	Adverse Costs Order	1 USD	Mother's opening brief contained citations to a non-existent case, citations to cases with incorrect and impossible pin cites, citations to a memorandum decision issued before 2015, and other errors. Father noted these issues in his answering brief and argued 
009	iowactapp-2026-state-of-iowa-ex-rel-j-g-v-mynesia-a-anderson	CA Iowa			Her briefs also cited two Iowa cases that do not exist; the reporter citations provided are for other states and cases unrelated to the cited propositions. We have addressed this phenomenon—problematic ﬁlings apparently “written” by artiﬁcial intelligence (AI)
010	innb-2026-in-re-garcia-martz	N.D. Indiana (Bankruptcy)	Order to Show Cause		Figure 3 below cites the 13 deficient arguments previously mentioned above; captures additional questionable arguments, misleading quotes, a non-existent Bankruptcy Rule; internally inconsistent and contradictory arguments; and describes other problems with th
011	gactapp-2026-henry-county-schools-v-grant	CA Georgia	Trial court's order vacated		In addition to citing federal law applicable to motions to dismiss and confusing constitutional claims with employment discrimination, it also ignores binding Georgia precedent, mis-quotes cases cited, and relies on at least one hallucinatedcase.Wefindittroubl
012	ilnd-2026-ifeoma-delliane-chinedu-obi-v-cook-county-illi	N.D. Illinois	Monetary Sanction; Struck Filing		Obi continues to submit AI hallucinated arguments and cases. On page 7, she asserts that “The district court acknowledged on page 7 that ‘a federal court may hear a claim alleging a state court judgment is void forlackofjurisdiction.’ItcitedAndradev.ArbyConces
013	nysd-2026-livevideo-ai-v-redstone	S.D. New York	Adverse Costs Order; Bar Referral	85056 USD	Constants also admitted that “he did not prepare, review, or file at least one of plaintiffs motions,” and nearly all of the motions in this matter contain the hallmarks of artificial intelligence (“Al”) fabrication, including non-existent hallucinated cases, 
014	flmd-2026-leafwell-v-doc-app	M.D. Florida	Decline to add new sanctions		Across these motions, the Court finds Castro: (1) overstated the breadth of four cases; (2) discussed a non-existent count; (3) completely misrepresented five cited authorities; and, most troubling of all, (4) failed to take responsibility for clearly failing 
015	azd-2026-perry-v-merrick-bank	D. Arizona			2026) (granting defendant’s motion to compel arbitration, in response to Plaintiff’s “90-page complaint [that] assert[ed] 18 causes of action under federal and state law,” and noting that Plaintiff’s filings included at least one “hallucinated citation” as wel
016	paed-2026-casey-a-gaddy-v-wood-brothers-bar	E.D. Pennsylvania	Admonishment		He speculates about Gillespie’s motives and saturates his briefing with immaterial and misrepresented facts, apparently hallucinated by artificial intelligence. The record shows Gillespie fired Gaddy because he concluded after investigating that Gaddy fudged t
017	cod-2026-tlingit-haida-tribal-business-v-onepromom	D. Colorado	Order to show cause		However, the Amended Complaint alleges that the Employee Handbook contains certain language that does not appear in the document filed by Defendants. Compare [Doc. 24 at ¶¶ 42–47], with [Doc. 34-1]. Because the Court cannot verify the accuracy of the document 
018	txdistct-2026-erica-whitesock-v-bird-global-and-city-of-aust	Texas	Monetary Sanction; Notice to Client	10000 USD	✳ ✳ ✳ As counsel for the City of Austin has noted, Plaintiffs’ response to the City’s plea to the jurisdiction contains a non-existent quotation of a legal authority. The response falsely quotes the Texas Tort Claims Act as containing an exception to governmen
019	msnd-2026-withers-v-city-of-aberdeen	N.D. Mississippi	Revoked pro hac vice; DQ resident attorneys from the case; Monetary Fine; Bar Referrals	8000 USD	On December 10, 2025, the Court entered an Order to Show Cause [110] directing all counsel of record in this case to show cause as to why the Court should not impose sanctions against them pursuant to Rule 11 of the Federal Rules of Civil Procedure, the Court’
020	tnwd-2026-bailey-v-sedgwick-claims-management-services	W.D. Tennessee	Order to correct motion		Apparently that AI program hallucinated over some citations. As a result, the Court required Plaintiff’s counsel to correct the citations and submit a Corrected Motion. They did so. (ECF No. 94.) The Sixth Circuit has recently addressed the role of AI in the r
021	minnctapp-2026-young-v-young	CA Minnesota	Admonishment		Our review of father’s brief shows that it contains many citations to caselaw that either do not exist—sometimes referred to as “hallucinations”—or do not support his legal argument. And father’s brief inaccurately quotes statutes and the record. Our review al
022	ilnd-2026-allison-v-shutterfly-lifetouch	N.D. Illinois	Warning		In any event, Norberg is a district court case—it is not precedential, and certainly not “controlling.”2 Allison’s mischaracterization of the cases he cites, as well as his filing of prior documents that include citations to fictitious cases, are “hallmarks of
